year,month,vtype,make,make
2016,4,02 - Automobile,HYUN,231
2016,4,02 - Automobile,HYUND,13
2016,4,02 - Automobile,HYUNDAI,297
2016,4,02 - Automobile,HYUNDAI`,4
2016,4,02 - Automobile,HYUNDIA,5
2016,4,02 - Automobile,INF,4
2016,4,02 - Automobile,INFI,70
2016,4,02 - Automobile,INFIINITI,1
2016,4,02 - Automobile,INFIN,1
2016,4,02 - Automobile,INFINITI,89
2016,4,02 - Automobile,INFINITY,27
2016,4,02 - Automobile,INFINTY,1
2016,4,02 - Automobile,INIFI,1
2016,4,02 - Automobile,INTL,1
2016,4,02 - Automobile,ISU,2
2016,4,02 - Automobile,ISUZ,2
2016,4,02 - Automobile,ISUZU,8
2016,4,02 - Automobile,JAG,1
2016,4,02 - Automobile,JAGU,4
2016,4,02 - Automobile,JAGUAR,15
2016,4,02 - Automobile,JEEP,305
2016,4,02 - Automobile,KIA,178
2016,4,02 - Automobile,LAND,1
2016,4,02 - Automobile,LAND  ROVER,1
2016,4,02 - Automobile,LAND ROVER,11
2016,4,02 - Automobile,LANDROVE,1
2016,4,02 - Automobile,LANDROVER,7
2016,4,02 - Automobile,LEX,3
2016,4,02 - Automobile,LEXIS,1
2016,4,02 - Automobile,LEXS,60
2016,4,02 - Automobile,LEXSUS,2
2016,4,02 - Automobile,LEXU,49
2016,4,02 - Automobile,LEXUS,266
2016,4,02 - Automobile,LICOLN,2
2016,4,02 - Automobile,LINC,25
2016,4,02 - Automobile,LINCOL,4
2016,4,02 - Automobile,LINCOLN,59
2016,4,02 - Automobile,LND,1
2016,4,02 - Automobile,LNDR,13
2016,4,02 - Automobile,LNDROVER,1
2016,4,02 - Automobile,MADZA,2
2016,4,02 - Automobile,MASE,1
2016,4,02 - Automobile,MASERATI,10
2016,4,02 - Automobile,MASERATTI,1
2016,4,02 - Automobile,MAZ,1
2016,4,02 - Automobile,MAZADA,1
2016,4,02 - Automobile,MAZD,77
2016,4,02 - Automobile,MAZDA,242
2016,4,02 - Automobile,MEBE,1
2016,4,02 - Automobile,MER,3
2016,4,02 - Automobile,MERC,28
2016,4,02 - Automobile,MERC BENZ,2
2016,4,02 - Automobile,MERCADES,1
2016,4,02 - Automobile,MERCEDEA,1
2016,4,02 - Automobile,MERCEDES,145
2016,4,02 - Automobile,MERCEDES BENZ,6
2016,4,02 - Automobile,MERCEDEZ,17
2016,4,02 - Automobile,MERCEDEZ BENZ,1
2016,4,02 - Automobile,MERCEDS,3
2016,4,02 - Automobile,MERCURY,61
2016,4,02 - Automobile,MERSEDEZ,2
2016,4,02 - Automobile,MERZ,247
2016,4,02 - Automobile,MERZ BENZ,2
2016,4,02 - Automobile,MINI,36
2016,4,02 - Automobile,MINI COOPER,2
2016,4,02 - Automobile,MISUBISHI,1
2016,4,02 - Automobile,MITS,87
2016,4,02 - Automobile,MITSU,1
2016,4,02 - Automobile,MITSUB,1
2016,4,02 - Automobile,MITSUBISHI,89
2016,4,02 - Automobile,MITSUBISUI,6
2016,4,02 - Automobile,MITSUBUSHI,4
2016,4,02 - Automobile,MITUBISHI,1
2016,4,02 - Automobile,MITZ,5
2016,4,02 - Automobile,MNNI,9
2016,4,02 - Automobile,NARD,2
2016,4,02 - Automobile,NIAASAN,5
2016,4,02 - Automobile,NIS,1
2016,4,02 - Automobile,NISAN,2
